Super lemma,PoS,Count,Percent,Lemma(ta),Word form(s),Dubium,Disambiguation status
dominus,Noun,62,1.772,dominus(26) domnus(36),domini(3) dominis(1) domino(10) dominum(2) dominus(10) domni(17) domno(5) domnorum(4) domnum(4) domnus(6),,green
suus,Pronoun,60,1.715,suus(60),sua(8) suae(5) suam(5) suas(2) sui(6) suis(5) suo(12) suorum(3) suos(4) suum(9) suus(1),,green
noster,Pronoun,52,1.486,noster(52),noster(1) nostra(9) nostrae(5) nostram(3) nostri(9) nostris(5) nostro(13) nostrorum(3) nostros(1) nostrum(3),,green
omnis,Adjective,50,1.429,omnis(50),omne(1) omnebus(2) omnes(4) omni(12) omnia(11) omnibus(16) omnis(1) omnium(3),,green
lex,Noun,33,0.943,lex(33),lege(4) legebus(2) legem(15) leges(1) legibus(3) legis(1) legum(2) lex(5),,green
facio,Verb,33,0.943,facio(33),facere(8) faciant(4) faciat(7) facienda(1) faciente(2) facit(1) facta(1) factum(2) factus(1) fecerint(1) fecerit(3) fecit(2),,green
convenio,Verb,31,0.886,convenio(31),convenerit(1) convenissent(1) convenit(29),,green
ecclesia,Noun,31,0.886,aecclesia(1) aeclesia(1) ecclesia(29),aecclesiae(1) aeclesiae(1) ecclesia(5) ecclesiae(10) ecclesiam(3) ecclesiarum(6) ecclesias(1) ecclesiis(4),,green
iudex,Noun,30,0.857,iudex(30),iudex(8) iudice(3) iudicebus(1) iudicem(2) iudices(3) iudici(1) iudicibus(5) iudicis(2) iudicum(5),,green
servus,Noun,30,0.857,servus(30),servi(3) servis(2) servo(5) servum(7) servus(13),,green
debeo,Verb,29,0.829,debeo(29),debeamus(1) debeant(10) debeat(9) debent(1) debet(6) debetis(1) debetur(1),,green
rex,Noun,27,0.772,rex(27),rege(1) reges(4) regibus(2) regis(7) regum(4) rex(9),,green
res,Noun,26,0.743,res(26),re(2) rebus(7) rem(2) rerum(1) res(14),,green
praesumo,Verb,26,0.743,praesumo(21) presummo(2) presumo(3),praesumant(5) praesumat(6) praesumpserit(10) presummat(2) presumpserit(3),,green
deus,Noun,26,0.743,deus(26),dei(7) deo(11) deum(2) deus(6),,green
habeo,Verb,22,0.629,habeo(22),habeant(2) habeat(4) habeatur(1) habemus(1) habens(1) habet(5) habetur(1) habuerint(1) habuerit(4) habuerunt(1) habuissent(1),,green
latro,Noun,20,0.572,latro(20),latro(5) latrone(1) latronem(9) latrones(1) latroni(1) latronis(3),,green
ita,Adverb,20,0.572,ita(20),ita(20),,green
causa,Noun,20,0.572,causa(20),causa(7) causae(1) causam(5) causarum(3) causis(4),,green
populus,Noun,19,0.543,populus(19),populi(3) populo(9) populorum(2) populos(1) populum(2) populus(2),,green
ProperName,Proper Name,19,0.543,ProperName(19),andelao(1) antonaco(1) asclipiodus(1) begora(1) benarno(1) caronna(1) chlodechildae(1) clodacharius(1) consorannis(1) gailesoindam(1) gotorum(1) hamingus(1) lapurdo(1) lemovicas(1) perrunas(1) rachymburgii(1) rossontinse(1) treiecto(1) turrovaninsis(1),,green
regnum,Noun,18,0.514,regnum(18),regna(1) regni(8) regno(7) regnum(2),,green
do,Verb,18,0.514,do(18),dabit(1) dare(7) dat(2) data(2) datum(1) datus(1) det(2) detur(2),,green
nox,Noun,17,0.486,nox(17),noctes(10) noctis(7),,green
compono,Verb,16,0.457,compono(9) conpono(7),componat(8) componere(1) conponat(6) conponere(1),,green
vero,Conjunction,15,0.429,vero(15),vero(15),,green
episcopus,Noun,15,0.429,episcopus(15),episcopi(2) episcopis(3) episcopo(6) episcoporum(4),,green
iustitia,Noun,14,0.4,iusticia(2) iustitia(12),iusticia(2) iustitia(3) iustitiae(3) iustitiam(6),,green
parens,Noun,14,0.4,parens(14),parentes(3) parentibus(6) parentis(2) parentum(3),,green
ago,Verb,14,0.4,ago(14),acta(2) actum(1) agens(3) agentes(3) agentibus(3) agere(2),,green
reddo,Verb,14,0.4,reddo(13) redo(1),reddant(1) reddantur(2) reddat(4) reddatur(1) reddenda(1) reddendos(1) reddendus(1) reddere(2) reddederit(1),,green
filius,Noun,13,0.372,filius(13),filii(2) filiis(2) filiisque(1) filio(3) filiorum(1) filios(4),,green
modus,Noun,13,0.372,modus(13),modis(2) modo(8) modum(3),,green
persona,Noun,13,0.372,persona(13),persona(3) personae(1) personam(2) personarum(1) personas(4) personis(2),,green
quicumque,Adjective,13,0.372,quicumque(13),quicumque(13),,green
alius,Pronoun,13,0.372,alius(13),alia(6) aliis(2) alios(3) aliud(1) alium(1),,green
quilibet,Pronoun,13,0.372,quilibet(13),cuilibet(1) cuiuslibet(4) qualibet(2) quibuslibet(2) quolibet(4),,green
Childebertus,Personal Name,13,0.372,Childebertus(13),childeberti(7) childeberto(1) childebertum(1) childebertus(4),,green
Guntchramnus,Personal Name,13,0.372,Guntchramnus(13),guntchramni(5) guntchramno(2) guntchramnum(1) guntchramnus(5),,green
fides,Noun,12,0.343,fides(12),fide(2) fidei(2) fidem(7) fides(1),,green
furtum,Noun,12,0.343,furtum(11) furtus(1),furto(1) furtu(1) furtum(9) furtus(1),,green
pars,Noun,12,0.343,pars(12),pars(2) parte(4) partebus(1) partem(3) partes(1) partibus(1),,green
tempus,Noun,12,0.343,tempus(12),tempore(7) temporibus(3) temporum(1) tempus(1),,green
vita,Noun,12,0.343,vita(12),vita(3) vitae(6) vitam(2) vite(1),,green
similiter,Adverb,12,0.343,similiter(12),similiter(12),,green
praesens,Adjective,12,0.343,praesens(11) presens(1),praesente(2) praesentem(1) praesenti(7) praesentis(1) presentibus(1),,green
accipio,Verb,12,0.343,accipio(12),acceperit(4) accepit(1) accipere(1) accipiant(2) accipiat(4),,green
dies,Noun,12,0.343,dies(12),die(8) diebus(2) diem(1) dies(1),,green
homo,Noun,11,0.314,homo(11),hominem(1) homines(3) hominibus(2) hominis(1) hominum(1) homo(2) nihilhominus(1),,green
locus,Noun,11,0.314,locum(5) locus(6),loca(5) locis(1) loco(3) locorum(1) locum(1),,green
