Super lemma,PoS,Count,Percent,Lemma(ta),Word form(s),Dubium,Disambiguation status
episcopus,Noun,30,3.409,episcopus(30),episcopi(6) episcopis(1) episcopo(7) episcoporum(3) episcopos(5) episcopum(2) episcopus(6),,green
deus,Noun,24,2.727,deus(24),dei(22) deo(1) deum(1),,green
omnis,Adjective,15,1.705,omnis(15),omne(1) omnes(8) omni(1) omnia(2) omnibus(2) omnis(1),,green
presbyter,Noun,14,1.591,presbiter(10) presbyter(4),presbiter(3) presbiteri(1) presbiteris(3) presbiteros(2) presbiterum(1) presbyter(1) presbyteri(3),,green
suus,Pronoun,14,1.591,suus(14),sua(7) suam(1) sui(2) suis(1) suo(2) suos(1),,green
ecclesia,Noun,13,1.477,aecclesia(3) ecclesia(10),aecclesia(1) aecclesiae(2) ecclesia(2) ecclesiae(2) ecclesiam(2) ecclesiarum(2) ecclesias(1) ecclesiis(1),,green
populus,Noun,12,1.364,populus(12),populi(3) populo(1) populos(1) populum(1) populus(6),,green
facio,Verb,11,1.25,facio(11),facere(1) faciant(4) faciat(3) faciunt(1) fecerit(1) fecimus(1),,green
princeps,Noun,9,1.023,princeps(9),princeps(4) principe(1) principem(1) principis(1) principum(2),,green
sacerdos,Noun,9,1.023,sacerdos(9),sacerdotes(3) sacerdotibus(1) sacerdotis(1) sacerdotum(4),,green
servus,Noun,9,1.023,servus(9),servis(3) servorum(6),,green
similiter,Adverb,9,1.023,similiter(9),similiter(9),,green
constituo,Verb,9,1.023,constituo(9),constituemus(3) constituerunt(3) constituimus(3),,green
parochia,Noun,9,1.023,parrochia(9),parrochia(8) parrochiam(1),,green
synodus,Noun,8,0.909,synodus(8),synodis(1) synodo(1) synodum(4) synodus(2),,green
ProperName,Proper Name,8,0.909,ProperName(8),ardobertum(1) dadanum(1) eddanum(1) helmigaudo(1) liftinas(1) radobodo(1) wilbaldum(1) wintanum(1),,green
decerno,Verb,8,0.909,decerno(8),decrevimus(8),,green
annus,Noun,8,0.909,annus(8),annis(2) anno(3) annos(2) annum(1),,green
consilium,Noun,8,0.909,consilium(8),consilio(6) consilium(2),,green
ecclesiasticus,Adjective,7,0.795,aecclesiasticus(2) ecclesiasticus(5),aecclesiastica(1) aecclesiastici(1) ecclesiastica(3) ecclesiasticis(1) ecclesiasticum(1),,green
ministerium,Noun,6,0.682,ministerium(6),ministerii(2) ministerio(2) ministerium(2),,green
monachus,Noun,6,0.682,monachus(6),monachi(4) monachorum(1) monachus(1),,green
mulier,Noun,6,0.682,mulier(6),mulier(2) muliere(1) mulierem(3),,green
ordo,Noun,6,0.682,ordo(6),ordine(2) ordinem(2) ordinis(1) ordo(1),,green
pecunia,Noun,6,0.682,pecunia(6),pecunia(3) pecuniae(1) pecunias(1) pecuniis(1),,green
christianus,Adjective,6,0.682,christianus(6),christiana(2) christiani(1) christianus(3),,green
meus,Pronoun,6,0.682,meus(6),meo(1) meorum(4) meus(1),,green
sanctus,Adjective,6,0.682,sanctus(6),sancta(2) sancti(3) sanctorum(1),,green
Christus,Personal Name,6,0.682,Christus(6),christi(6),,green
habeo,Verb,6,0.682,habeo(6),habeant(1) habeat(4) habetur(1),,green
clericus,Noun,6,0.682,clericus(6),clerici(1) clericis(1) clericos(2) clericus(2),,green
fornicatio,Noun,5,0.568,fornicatio(5),fornicationem(1) fornicationis(4),,green
homo,Noun,5,0.568,homo(5),homines(2) hominibus(1) hominis(1) homo(1),,green
necessitas,Noun,5,0.568,necessitas(5),necessitas(1) necessitate(2) necessitati(1) necessitatis(1),,green
nomen,Noun,5,0.568,nomen(5),nomine(5),,green
paenitentia,Noun,5,0.568,paenitencia(1) poenitentia(4),paenitenciam(1) poenitenciam(1) poenitentiam(3),,green
reddo,Verb,5,0.568,reddo(5),reddat(2) reddatur(2) reddidimus(1),,green
statuo,Verb,5,0.568,statuo(5),statuemus(1) statuimus(4),,green
canon,Noun,5,0.568,canon(5),canones(3) canonum(2),,green
legitimus,Noun,4,0.455,legitimus(4),legitimi(2) legitimos(1) legitimus(1),,green
lex,Noun,4,0.455,lex(4),lege(1) legem(1) lex(2),,green
optimas,Noun,4,0.455,optimas(4),optimatum(4),,green
regula,Noun,4,0.455,regula(4),regula(2) regulam(2),,green
signum,Noun,4,0.455,signum(4),signum(4),,green
canonicus,Adjective,4,0.455,canonicus(4),canonicam(1) canonicas(1) canonico(2),,green
Francus,Adjective,4,0.455,Francus(4),francorum(4),,green
alius,Pronoun,4,0.455,alius(4),aliis(2) aliorum(1) alium(1),,green
noster,Pronoun,4,0.455,noster(4),nostra(1) nostri(2) nostro(1),,green
habito,Verb,4,0.455,habito(4),habitans(1) habitare(1) habitet(2),,green
ordino,Verb,4,0.455,ordino(4),ordinare(1) ordinatus(1) ordinavimus(2),,green
porto,Verb,4,0.455,porto(4),portanda(1) portare(1) portent(2),,green
ancilla,Noun,4,0.455,ancilla(4),ancillae(1) ancillarum(2) ancillas(1),,green
suscipio,Verb,4,0.455,suscipio(4),suscipiantur(1) suscipiendum(2) suscipientes(1),,green
vivo,Verb,4,0.455,vivo(4),vivant(1) vivente(1) viventem(1) vivere(1),,green
civitas,Noun,4,0.455,civitas(4),civitas(1) civitates(2) civitatis(1),,green
consensus,Noun,4,0.455,consensus(4),consensu(4),,green
domus,Noun,4,0.455,domus(4),domo(1) domu(1) domui(1) domus(1),,green
Adlabertus,Personal Name,3,0.341,Adlabertus(3),adlaberto(1) adlabertum(1) adlabertus(1),,green
fides,Noun,3,0.341,fides(3),fide(2) fidei(1),,green
iudicium,Noun,3,0.341,iudicium(3),iudicia(1) iudicio(1) iudicium(1),,green
ius,Noun,3,0.341,ius(3),iura(2) iure(1),,green
monasterium,Noun,3,0.341,monasterium(3),monasteria(2) monasterium(1),,green
paganus,Noun,3,0.341,paganus(3),paganis(1) paganorum(1) paganus(1),,green
pater,Noun,3,0.341,pater(3),pater(1) patris(1) patrum(1),,green
precarium,Noun,3,0.341,precarium(3),precario(2) precarium(1),,green
sanctus,Noun,3,0.341,sanctus(3),sanctorum(2) sanctos(1),,green
vita,Noun,3,0.341,vita(3),vitae(2) vitam(1),,green
qualiter,Adverb,3,0.341,qualiter(3),qualiter(3),,green
prior,Adjective,3,0.341,prior(3),prioris(2) priorum(1),,green
singulus,Adjective,3,0.341,singulus(3),singulis(2) singulos(1),,green
cado,Verb,3,0.341,cado(2) caso(1),ceciderit(1) ceciderunt(1) casata(1),,green
cogo,Verb,3,0.341,cogo(3),coegimus(1) cogat(2),,green
confirmo,Verb,3,0.341,confirmo(3),confirmandos(1) confirmandum(1) confirmari(1),,green
debeo,Verb,3,0.341,debeo(3),debeamus(1) debet(2),,green
Kalendae,Proper Name,3,0.341,Kalendae(3),kalendas(3),,green
dico,Verb,3,0.341,dico(3),dicant(1) dicitur(1) diximus(1),,green
Pippinus,Personal Name,3,0.341,Pippinus(3),pippino(2) pippinus(1),,green
observo,Verb,3,0.341,observo(3),observare(1) observavimus(1) observetur(1),,green
praecipio,Verb,3,0.341,praecipio(3),praecipiebat(1) praecipimus(2),,green
prohibeo,Verb,3,0.341,prohibeo(3),prohibeant(1) prohibeantur(1) prohibuimus(1),,green
abbas,Noun,3,0.341,abbas(3),abbates(1) abbati(2),,green
recupero,Verb,3,0.341,recupero(3),recuperare(1) recuperetur(2),,green
adiutorium,Noun,3,0.341,adiutorium(3),adiutorio(1) adiutorium(2),,green
archiepiscopus,Noun,3,0.341,archiepiscopus(3),archiepiscopum(2) archiepiscopus(1),,green
carcer,Noun,3,0.341,carcer(3),carcere(2) carcerem(1),,green
comes,Noun,3,0.341,comes(3),comites(1) comitibus(2),,green
concilium,Noun,3,0.341,concilium(3),concilio(2) concilium(1),,green
decretum,Noun,3,0.341,decretum(3),decreta(3),,green
diaconus,Noun,3,0.341,diaconus(3),diaconi(2) diaconos(1),,green
dies,Noun,3,0.341,dies(3),die(1) diebus(2),,green
dominus,Noun,3,0.341,dominus(3),domini(3),,green
exercitus,Noun,2,0.227,exercitus(2),exercitum(1) exercitus(1),,green
falsus,Noun,2,0.227,falsus(2),falsos(2),,green
fornicator,Noun,2,0.227,fornicator(2),fornicatores(2),,green
haeresis,Noun,2,0.227,haeresis(2),haeresim(1) haeresis(1),,green
ignis,Noun,2,0.227,ignis(2),igne(1) ignes(1),,green
incarnatio,Noun,2,0.227,incarnatio(2),incarnatione(2),,green
laicus,Noun,2,0.227,laicus(2),laicorum(2),,green
locus,Noun,2,0.227,locum(1) locus(1),loca(1) loco(1),,green
missa,Noun,2,0.227,missa(2),missarum(2),,green
modus,Noun,2,0.227,modus(2),modo(2),,green
mos,Noun,2,0.227,mos(2),more(1) moribus(1),,green
nonna,Noun,2,0.227,nonna(2),nonnae(2),,green
observatio,Noun,2,0.227,observatio(2),observationes(2),,green
paupertas,Noun,2,0.227,paupertas(2),paupertas(1) paupertatem(1),,green
peccatum,Noun,2,0.227,peccatum(2),peccata(1) peccatum(1),,green
praefectus,Noun,2,0.227,praefectus(2),praefecti(1) praefectus(1),,green
ratio,Noun,2,0.227,ratio(2),rationem(2),,green
regio,Noun,2,0.227,regio(2),regione(1) regionibus(1),,green
religio,Noun,2,0.227,relegio(2),relegio(2),,green
res,Noun,2,0.227,res(2),re(1) rebus(1),,green
ritus,Noun,2,0.227,ritus(2),ritu(2),,green
saeculum,Noun,2,0.227,seculum(2),secula(1) seculorum(1),,green
salus,Noun,2,0.227,salus(2),salutem(2),,green
solidus,Noun,2,0.227,solidus(2),solidis(1) solidus(1),,green
sollicitudo,Noun,2,0.227,sollicitudo(2),sollicitudinem(2),,green
tempus,Noun,2,0.227,tempus(2),tempore(1) temporis(1),,green
unus,Noun,2,0.227,unus(2),unum(2),,green
venatio,Noun,2,0.227,venatio(2),venationes(2),,green
vir,Noun,2,0.227,vir(2),vir(1) viro(1),,green
Maius,Adjective,2,0.227,Maius(2),maias(2),,green
catholicus,Adjective,2,0.227,catholicus(2),catholica(2),,green
ita,Adverb,2,0.227,ita(2),ita(2),,green
falsus,Adjective,2,0.227,falsus(2),falsi(1) falsus(1),,green
